Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Detroit,4.3,4.3,6.0,5.0,3.5,3.8
2,Washington,4.1,3.7,2.0,4.8,3.5,2.9
3,Tampa Bay,4.0,4.7,3.0,4.2,3.8,2.7
4,Green Bay,4.0,3.3,3.0,3.9,4.1,3.8
5,Philadelphia,4.0,4.0,3.0,4.0,4.0,3.4
6,Buffalo,4.0,4.0,3.0,4.3,3.6,3.8
7,Kansas City,3.9,4.0,1.0,4.4,3.3,3.8
8,Baltimore,3.8,3.7,3.0,4.3,3.4,3.9
9,LA Rams,3.8,4.3,5.0,3.7,3.9,3.2
10,San Francisco,3.7,4.0,2.0,4.1,3.3,3.8
11,Cincinnati,3.6,4.7,4.0,4.0,3.2,3.1
12,Minnesota,3.4,3.0,1.0,3.6,3.3,3.0
13,Houston,3.4,3.7,3.0,3.4,3.3,2.9
14,Arizona,3.4,4.0,4.0,3.1,3.6,2.5
15,NY Jets,3.2,3.3,5.0,3.4,3.1,2.2
16,Denver,3.2,2.7,1.0,3.6,2.8,3.5
17,Miami,3.1,3.3,5.0,3.3,3.0,3.2
18,Atlanta,3.1,4.0,5.0,3.2,3.0,2.8
19,Pittsburgh,3.1,2.0,0.0,3.8,2.6,2.5
20,Indianapolis,3.1,3.7,3.0,3.3,2.9,3.4
21,Jacksonville,2.9,2.0,3.0,3.1,2.8,3.1
22,Carolina,2.9,3.7,6.0,3.1,2.8,2.1
23,Dallas,2.9,3.3,6.0,3.2,2.6,4.2
24,LA Chargers,2.8,3.7,1.0,3.1,2.6,2.8
25,New England,2.8,2.0,3.0,3.1,2.4,2.1
26,Tennessee,2.6,2.3,2.0,2.8,2.6,2.8
27,Las Vegas,2.6,3.0,2.0,3.0,2.3,2.8
28,NY Giants,2.6,2.0,1.0,2.4,2.8,2.5
29,New Orleans,2.5,1.0,2.0,2.7,2.4,3.5
30,Seattle,2.5,2.0,3.0,2.1,2.9,3.2
31,Chicago,2.2,1.7,1.0,2.4,2.0,2.9
32,Cleveland,2.2,3.0,3.0,2.1,2.2,2.9
