Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Baltimore,6.8,6.7,7.3,6.7,7.0,5.8
2,Detroit,6.3,6.7,7.7,6.4,6.2,5.9
3,San Francisco,6.2,6.6,6.0,6.2,6.2,6.5
4,Tampa Bay,6.2,6.8,6.5,6.0,6.5,5.2
5,Green Bay,6.1,5.3,5.0,6.0,6.2,5.7
6,Buffalo,5.9,5.6,5.5,5.9,5.9,5.6
7,Arizona,5.9,5.9,6.3,6.2,5.5,5.2
8,Atlanta,5.8,6.0,7.0,5.6,6.0,5.2
9,Cincinnati,5.8,5.4,4.4,5.9,5.6,5.2
10,Washington,5.7,5.4,4.5,6.0,5.4,5.0
11,Philadelphia,5.6,5.9,4.9,5.7,5.5,5.4
12,Seattle,5.5,5.9,6.3,5.2,5.8,5.5
13,Minnesota,5.5,4.8,3.8,6.1,5.0,5.5
14,Indianapolis,5.5,6.3,5.6,5.9,5.1,5.2
15,LA Rams,5.4,5.9,5.7,5.4,5.5,5.7
16,LA Chargers,5.4,5.7,4.8,5.5,5.3,5.1
17,New Orleans,5.3,4.5,4.6,5.4,5.2,5.1
18,Jacksonville,5.2,5.0,4.7,5.9,4.8,5.2
19,Houston,5.2,6.2,6.1,5.1,5.3,5.4
20,Denver,5.2,5.9,5.3,5.6,4.9,5.0
21,NY Jets,5.2,5.4,6.0,5.2,5.3,4.3
22,Kansas City,5.1,5.4,5.6,5.2,5.1,5.6
23,Miami,5.1,5.3,4.9,5.4,4.9,6.4
24,Carolina,5.1,5.8,6.5,5.2,5.0,4.1
25,Pittsburgh,5.1,4.8,6.2,4.9,5.2,5.0
26,Dallas,5.0,5.0,5.0,4.9,5.3,5.6
27,Tennessee,5.0,5.3,5.2,5.0,5.0,4.9
28,Las Vegas,4.8,5.1,5.5,4.7,4.9,4.9
29,New England,4.8,4.9,5.1,5.0,4.7,4.6
30,NY Giants,4.7,5.3,4.4,4.4,5.0,4.5
31,Cleveland,4.6,4.0,4.2,4.3,4.9,4.8
32,Chicago,4.5,4.5,3.9,4.7,4.4,5.0
