"Team","Point Spread Rating Points","Point Spread Rating QB","Strength of Schedule To Date","Strength of Schedule Remaining","Projections Avg. Wins","Projections Make Playoffs","Projections Win Division Title","Projections Win Conf Champ","Projections Win Super Bowl"
"BLT","5.9904275","6.5","null","12","11.2566","76.78","53.28000000000001","18.37","10.96"
"PHI","5.6749659","4","null","5","10.8337","73.58","52.07000000000001","17.7","8.6"
"BUF","5.5214519","6.5","null","26","11.6833","80.95","63.55","18.86","10.84"
"KC","5.2145036","7","null","8","10.7345","70.65","44.6","14.62","8.61"
"DET","4.0376605","3.5","null","1","9.8449","60.440000000000005","34.65","12.559999999999999","5.8999999999999995"
"GB","2.8971618","4","null","7","9.5527","55.65","30.959999999999997","9.44","4.61"
"WAS","2.1744961","3.5","null","10","9.3169","53.26","28.68","8.39","3.81"
"CIN","1.8848064","6","null","13","9.267","52.459999999999994","24.59","7.470000000000001","3.9899999999999998"
"LA","1.7136028","5","null","18","9.4109","53.73","27.73","7.1","3.42"
"MIN","1.6841959","1.5","null","3","8.6862","44.86","21.68","6.76","3.2"
"SF","1.3670431","3.5","null","32","10.0745","60.699999999999996","34.81","8.3","3.66"
"LAC","1.3281589","6","null","14","9.1892","50.64999999999999","24.2","6.4","3.4000000000000004"
"HST","1.2819433","5","null","17","9.1299","54.290000000000006","40.400000000000006","6.460000000000001","3.4299999999999997"
"DEN","1.0665992","2","null","15","8.9229","47.099999999999994","21.709999999999997","5.81","3"
"TB","0.8882912","3.5","null","27","9.3883","59.660000000000004","47.73","6.84","2.78"
"PIT","0.6105447","3","null","11","8.6888","44.28","18.68","5.42","2.9000000000000004"
"ARZ","-0.201647","4","null","24","8.7813","44.85","20.75","5.4","2.04"
"CHI","-0.6540719","3","null","6","7.6642","30.73","12.709999999999999","3.49","1.44"
"DAL","-0.7002358","5","null","9","7.8049","33.45","14.74","3.64","1.35"
"SEA","-1.0661599","3","null","21","8.2357","38.2","16.71","4.09","1.72"
"MIA","-1.2641107","3","null","22","8.261","38.06","15.55","3.53","1.8399999999999999"
"ATL","-1.7626272","1.5","null","29","8.1096","40.92","28.78","3.2800000000000002","1.22"
"JAX","-1.8527759","4.5","null","23","7.9667","37.75","25.180000000000003","2.93","1.31"
"IND","-1.9445805","1.5","null","20","7.7383","35.39","22.82","2.63","1.44"
"NE","-1.9815835","3","null","31","8.2462","36.76","15.129999999999999","3.08","1.35"
"LV","-2.4013287","3.5","null","16","7.2666","26.279999999999998","9.49","2.02","1.0699999999999998"
"CAR","-4.2111763","2","null","28","6.8001","24.86","15.97","1.52","0.51"
"NYG","-4.6242859","3","null","2","5.5936","12.7","4.51","0.9900000000000001","0.36"
"NYJ","-4.8459363","2.5","null","19","6.3347","17.22","5.7700000000000005","0.8999999999999999","0.4"
"TEN","-4.9516775","1.5","null","25","6.3775","20.25","11.600000000000001","0.9299999999999999","0.43"
"CLV","-5.2627393","1.5","null","4","5.4427","11.129999999999999","3.45","0.5700000000000001","0.27999999999999997"
"NO","-7.4957832","0.5","null","30","5.3966","12.41","7.5200000000000005","0.5","0.13"
