"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,586.1","12.2","0.6","353.0"
"Bijan Robinson","ATL","RB1","304.1","1,418.9","11.4","57.7","438.5","2.2","1.4","322.2"
"Saquon Barkley","PHI","RB2","327.8","1,649.3","10.8","43.5","332.5","2.2","1.4","316.8"
"Jahmyr Gibbs","DET","RB3","240.0","1,240.0","11.7","57.7","507.0","2.8","1.3","316.4"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","105.2","1,459.6","9.6","0.6","307.7"
"CeeDee Lamb","DAL","WR3","9.2","59.3","0.3","110.9","1,385.7","8.0","1.0","303.1"
"Christian McCaffrey","SF","RB4","240.4","1,092.3","8.0","64.3","558.2","3.5","1.8","294.4"
"Puka Nacua","LAR","WR4","10.7","61.2","0.6","104.9","1,362.7","6.9","0.6","291.1"
"Malik Nabers","NYG","WR5","2.6","12.2","0.0","107.0","1,343.3","8.2","0.6","290.8"
"Amon-Ra St. Brown","DET","WR6","1.9","12.6","0.1","110.3","1,263.3","8.8","0.9","289.2"
"De'Von Achane","MIA","RB5","216.9","1,010.4","7.6","68.7","506.0","3.9","1.3","286.4"
"Nico Collins","HOU","WR7","0.0","1.6","0.0","92.1","1,311.9","8.9","0.5","275.7"
"Brian Thomas Jr.","JAC","WR8","3.8","24.9","0.0","91.9","1,298.2","8.6","0.6","274.7"
"Derrick Henry","BAL","RB6","306.0","1,553.4","13.7","16.4","153.7","0.9","1.4","272.0"
"Drake London","ATL","WR9","0.3","2.0","0.0","95.9","1,232.8","8.2","0.6","267.5"
"Josh Jacobs","GB","RB7","290.6","1,232.5","11.4","37.9","315.9","1.5","1.5","267.1"
"Ashton Jeanty","LV","RB8","272.8","1,219.6","9.0","45.9","361.4","1.9","2.4","264.3"
"Tyreek Hill","MIA","WR10","7.2","40.7","0.1","94.2","1,182.8","7.7","0.6","262.5"
"Chase Brown","CIN","RB9","242.9","1,026.4","8.3","55.0","385.9","2.7","1.4","259.4"
"Jonathan Taylor","IND","RB10","310.1","1,411.7","10.6","28.6","205.1","1.3","1.6","258.7"
"A.J. Brown","PHI","WR11","0.0","0.0","0.0","84.9","1,243.6","8.4","0.9","257.6"
"Ladd McConkey","LAC","WR12","0.0","1.4","0.0","90.5","1,209.4","7.4","0.7","254.4"
"Bucky Irving","TB","RB11","244.1","1,157.7","8.5","45.1","349.8","1.7","1.4","254.0"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","105.2","1,117.0","6.0","0.5","253.0"
"Kyren Williams","LAR","RB12","284.2","1,223.5","11.4","33.7","213.6","1.7","2.3","251.5"
"Tee Higgins","CIN","WR13","0.0","0.0","0.0","86.6","1,099.8","8.9","0.9","248.3"
"Mike Evans","TB","WR14","0.0","0.0","0.0","79.7","1,071.3","9.9","0.5","245.5"
"Jaxon Smith-Njigba","SEA","WR15","2.7","20.7","0.0","93.7","1,102.8","6.6","0.6","244.5"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.2","1,100.3","8.3","0.5","244.3"
"Trey McBride","ARI","TE2","0.0","1.5","0.0","104.4","1,053.3","5.8","0.5","243.9"
"Alvin Kamara","NO","RB13","222.5","923.7","5.3","62.4","470.0","2.0","1.3","242.9"
"Terry McLaurin","WAS","WR17","1.1","4.8","0.0","82.8","1,103.4","8.0","0.9","240.0"
"Garrett Wilson","NYJ","WR18","1.9","13.5","0.0","90.5","1,082.4","6.0","1.3","233.2"
"James Cook","BUF","RB14","232.1","1,087.7","9.7","31.4","258.9","1.9","1.4","232.9"
"DK Metcalf","PIT","WR19","0.0","1.2","0.0","77.8","1,137.8","7.3","1.3","232.6"
"Marvin Harrison Jr.","ARI","WR20","0.0","3.2","0.0","78.9","1,090.2","7.6","1.0","231.9"
"DJ Moore","CHI","WR21","9.5","53.8","0.1","87.1","1,013.6","6.3","0.9","230.8"
"James Conner","ARI","RB15","218.1","986.1","8.1","40.7","313.0","1.7","1.4","226.1"
"Breece Hall","NYJ","RB16","218.3","977.6","5.8","46.2","377.3","1.9","1.6","224.9"
"George Kittle","SF","TE3","0.0","0.0","0.0","76.1","1,031.1","7.5","0.5","223.0"
"Zay Flowers","BAL","WR22","8.2","48.4","0.1","75.9","1,033.4","6.3","0.5","221.5"
"Xavier Worthy","KC","WR23","15.4","84.4","1.5","72.0","894.8","7.2","0.5","221.1"
"Courtland Sutton","DEN","WR24","0.0","0.2","0.0","76.4","1,013.4","7.4","0.9","220.3"
"Chuba Hubbard","CAR","RB17","246.3","1,087.6","8.0","37.9","230.7","1.0","1.8","220.1"
"Omarion Hampton","LAC","RB18","227.0","990.5","8.8","35.8","277.3","1.5","2.1","220.0"
"Kenneth Walker III","SEA","RB19","232.4","944.9","7.9","42.4","301.2","1.2","1.3","219.4"
"DeVonta Smith","PHI","WR25","0.3","1.2","0.0","81.2","976.9","6.8","0.5","218.8"
"Jerry Jeudy","CLE","WR26","0.3","4.8","0.0","82.0","1,105.0","4.1","0.6","216.7"
"Calvin Ridley","TEN","WR27","5.6","33.4","0.3","70.0","1,025.4","6.0","0.9","211.8"
"George Pickens","DAL","WR28","1.0","6.2","0.0","69.2","1,012.7","6.4","0.9","208.0"
"Jameson Williams","DET","WR29","7.4","63.4","0.8","60.8","963.5","6.1","0.5","203.9"
"D'Andre Swift","CHI","RB20","237.0","961.5","6.1","36.6","284.2","1.2","1.1","203.1"
"Tetairoa McMillan","CAR","WR30","0.5","7.4","0.0","73.7","962.1","5.8","1.2","203.0"
"Aaron Jones Sr.","MIN","RB21","198.2","887.0","4.4","44.8","328.8","2.3","1.8","202.7"
"Jaylen Waddle","MIA","WR31","2.5","16.1","0.1","75.5","965.3","4.9","0.5","202.1"
"Tony Pollard","TEN","RB22","233.3","979.8","5.5","40.0","257.5","0.9","1.0","200.0"
"Jakobi Meyers","LV","WR32","1.2","8.9","0.0","78.6","916.8","4.9","0.5","199.4"
"David Montgomery","DET","RB23","199.1","836.9","9.0","31.4","257.8","0.9","1.0","198.1"
"TreVeyon Henderson","NE","RB24","212.8","933.2","6.1","33.7","264.1","1.7","1.7","197.1"
"Deebo Samuel Sr.","WAS","WR33","29.2","124.2","1.2","65.0","829.6","5.1","1.0","196.3"
"Chris Olave","NO","WR34","0.3","2.8","0.0","76.9","947.3","4.4","1.3","196.0"
"Stefon Diggs","NE","WR35","1.3","6.9","0.2","77.5","852.1","5.2","0.5","194.6"
"Michael Pittman Jr.","IND","WR36","0.3","2.0","0.0","78.4","887.6","4.2","0.9","190.9"
"Travis Hunter","JAC","WR37","3.8","21.7","0.1","68.5","890.2","5.2","0.8","190.0"
"Matthew Golden","GB","WR38","0.5","9.4","0.0","64.1","891.2","6.0","0.8","188.4"
"Rashee Rice","KC","WR39","1.1","4.5","0.0","70.9","831.8","5.8","0.6","188.3"
"Travis Kelce","KC","TE4","0.0","0.5","0.0","81.0","773.5","5.2","0.9","188.1"
"Jauan Jennings","SF","WR40","2.4","10.8","0.1","66.8","879.8","5.2","0.6","186.4"
"RJ Harvey","DEN","RB25","190.9","821.6","5.7","35.3","269.4","1.7","1.3","186.0"
"Rome Odunze","CHI","WR41","1.3","8.0","0.0","65.7","885.7","5.4","0.9","185.5"
"Cooper Kupp","SEA","WR42","1.3","9.0","0.0","72.5","805.2","5.3","0.6","184.9"
"Sam LaPorta","DET","TE5","0.0","0.0","0.0","68.3","765.9","6.8","0.4","184.8"
"Khalil Shakir","BUF","WR43","0.3","3.0","0.0","71.9","813.7","4.9","0.6","181.8"
"Tyrone Tracy Jr.","NYG","RB26","192.7","828.9","5.4","36.1","268.1","1.1","1.6","181.2"
"Isiah Pacheco","KC","RB27","203.0","841.4","5.9","33.7","231.1","1.1","1.0","180.7"
"Ricky Pearsall","SF","WR44","7.0","54.0","0.3","60.6","816.6","5.1","0.6","179.3"
"T.J. Hockenson","MIN","TE6","0.0","0.0","0.0","74.1","775.9","4.7","0.5","178.7"
"David Njoku","CLE","TE7","0.0","0.0","0.0","76.9","738.9","4.9","0.8","178.6"
"Jordan Addison","MIN","WR45","0.9","8.9","0.2","60.6","785.5","6.0","0.4","176.4"
"Rashid Shaheed","NO","WR46","7.7","47.2","0.1","58.0","861.7","4.9","1.3","176.4"
"Chris Godwin Jr.","TB","WR47","1.2","7.9","0.0","67.4","778.7","5.1","0.6","175.7"
"Jaylen Warren","PIT","RB28","149.6","668.3","3.6","47.5","347.2","1.1","1.1","175.1"
"Emeka Egbuka","TB","WR48","1.6","11.5","0.0","62.5","794.1","5.5","1.1","174.2"
"Mark Andrews","BAL","TE8","0.0","2.0","0.0","58.8","701.2","7.7","0.8","173.4"
"Josh Downs","IND","WR49","0.3","5.8","0.0","69.3","769.9","4.5","0.5","172.9"
"Jayden Reed","GB","WR50","11.8","93.5","0.7","54.9","736.0","5.3","0.9","172.4"
"Keon Coleman","BUF","WR51","0.3","3.8","0.0","52.4","824.1","6.1","0.5","170.8"
"Austin Ekeler","WAS","RB29","108.7","487.7","4.7","47.1","386.3","1.8","1.4","170.3"
"Darnell Mooney","ATL","WR52","0.0","1.5","0.0","58.6","830.9","4.5","0.4","168.0"
"Kaleb Johnson","PIT","RB30","196.7","828.8","6.2","23.2","178.0","1.0","1.7","163.8"
"Tyler Warren","IND","TE9","0.0","10.5","0.0","63.2","681.6","4.9","1.1","159.7"
"Marvin Mims Jr.","DEN","WR53","11.9","49.4","0.1","52.6","694.1","5.3","0.6","158.7"
"Evan Engram","DEN","TE10","0.0","0.0","0.0","70.1","626.5","4.2","0.9","156.0"
"Joe Mixon","HOU","RB31","169.2","655.2","5.8","27.4","219.2","1.3","0.9","155.9"
"Travis Etienne Jr.","JAC","RB32","147.5","597.0","3.9","38.4","284.9","1.2","0.9","154.8"
"Adam Thielen","CAR","WR54","0.0","1.8","0.0","61.5","656.2","4.4","0.5","152.4"
"Javonte Williams","DAL","RB33","167.8","644.0","4.4","34.4","220.2","0.9","0.6","151.4"
"Wan'Dale Robinson","NYG","WR55","2.0","15.6","0.0","69.4","625.3","3.1","0.5","151.3"
"Cedric Tillman","CLE","WR56","0.7","0.8","0.0","57.0","715.5","4.0","0.9","150.9"
"Jake Ferguson","DAL","TE11","0.0","0.0","0.0","67.9","623.0","3.8","1.2","150.6"
"Zach Charbonnet","SEA","RB34","135.9","585.4","4.9","33.7","247.9","0.9","0.8","150.3"
"Marquise Brown","KC","WR57","0.3","2.0","0.0","55.2","681.1","4.5","0.2","150.1"
"Tucker Kraft","GB","TE12","0.0","0.0","0.0","55.2","652.7","4.8","0.8","147.7"
"Jacory Croskey-Merritt","WAS","RB35","163.8","687.0","6.0","21.1","167.8","1.2","0.9","147.5"
"Keenan Allen","LAC","WR58","0.3","2.0","0.0","55.6","640.2","4.8","0.6","147.4"
"Rashod Bateman","BAL","WR59","0.0","0.6","0.0","45.5","685.9","5.6","0.1","147.3"
"J.K. Dobbins","DEN","RB36","147.1","653.5","4.8","29.5","189.3","1.2","1.2","147.3"
"Christian Kirk","HOU","WR60","0.7","4.0","0.0","54.1","696.5","3.6","0.8","144.2"
"Dallas Goedert","PHI","TE13","0.0","2.0","0.0","57.7","635.8","3.9","0.5","144.0"
"Zach Ertz","WAS","TE14","0.0","0.0","0.0","57.9","537.0","5.1","0.1","141.7"
"Xavier Legette","CAR","WR61","6.2","28.9","0.1","54.5","617.0","3.8","0.5","141.4"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.1","603.9","4.0","0.5","140.7"
"Rhamondre Stevenson","NE","RB37","154.2","625.0","4.9","27.3","173.9","1.1","1.5","140.2"
"Kyle Pitts Sr.","ATL","TE16","0.0","0.0","0.0","50.9","641.8","4.2","0.1","140.1"
"Quinshon Judkins","CLE","RB38","176.7","705.1","4.6","21.2","163.1","0.9","1.3","138.9"
"Jayden Higgins","HOU","WR62","0.7","4.0","0.0","49.9","660.3","3.8","0.4","138.3"
"DeMario Douglas","NE","WR63","2.1","15.9","0.0","56.5","597.7","3.2","0.2","136.6"
"Jordan Mason","MIN","RB39","163.6","753.7","4.6","16.9","123.5","0.7","0.7","134.8"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","54.9","574.3","3.9","0.4","134.7"
"Rachaad White","TB","RB40","105.3","423.1","2.7","35.6","269.7","2.1","1.3","131.1"
"Colston Loveland","CHI","TE18","0.0","0.0","0.0","53.6","562.6","3.8","0.8","131.0"
"Tyler Lockett","TEN","WR64","0.0","0.0","0.0","50.8","586.7","3.5","0.1","130.1"
"Romeo Doubs","GB","WR65","0.0","0.5","0.0","46.2","587.5","4.3","0.5","129.6"
"Cade Otton","TB","TE19","0.0","0.0","0.0","52.0","530.0","4.2","0.5","129.4"
"Brenton Strange","JAC","TE20","0.0","0.0","0.0","55.2","550.4","3.3","0.5","129.0"
"Tyjae Spears","TEN","RB41","117.2","454.9","3.3","32.2","243.6","1.0","0.9","126.2"
"Jerome Ford","CLE","RB42","127.6","534.4","3.0","30.0","205.5","1.0","0.8","126.2"
"Chig Okonkwo","TEN","TE21","0.0","3.0","0.0","54.7","546.7","3.0","0.8","126.0"
"Luther Burden III","CHI","WR66","3.6","27.2","0.4","46.0","558.6","3.3","1.1","124.1"
"Jonnu Smith","PIT","TE22","0.0","1.5","0.0","50.4","522.8","3.8","0.9","123.7"
