"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Bijan Robinson","ATL","304.1","1,418.9","11.4","57.7","438.5","2.2","1.4","322.2"
"Saquon Barkley","PHI","327.8","1,649.3","10.8","43.5","332.5","2.2","1.4","316.8"
"Jahmyr Gibbs","DET","240.0","1,240.0","11.7","57.7","507.0","2.8","1.3","316.4"
"Christian McCaffrey","SF","240.4","1,092.3","8.0","64.3","558.2","3.5","1.8","294.4"
"De'Von Achane","MIA","216.9","1,010.4","7.6","68.7","506.0","3.9","1.3","286.4"
"Derrick Henry","BAL","306.0","1,553.4","13.7","16.4","153.7","0.9","1.4","272.0"
"Josh Jacobs","GB","290.6","1,232.5","11.4","37.9","315.9","1.5","1.5","267.1"
"Ashton Jeanty","LV","272.8","1,219.6","9.0","45.9","361.4","1.9","2.4","264.3"
"Chase Brown","CIN","242.9","1,026.4","8.3","55.0","385.9","2.7","1.4","259.4"
"Jonathan Taylor","IND","310.1","1,411.7","10.6","28.6","205.1","1.3","1.6","258.7"
"Bucky Irving","TB","244.1","1,157.7","8.5","45.1","349.8","1.7","1.4","254.0"
"Kyren Williams","LAR","284.2","1,223.5","11.4","33.7","213.6","1.7","2.3","251.5"
"Alvin Kamara","NO","222.5","923.7","5.3","62.4","470.0","2.0","1.3","242.9"
"James Cook","BUF","232.1","1,087.7","9.7","31.4","258.9","1.9","1.4","232.9"
"James Conner","ARI","218.1","986.1","8.1","40.7","313.0","1.7","1.4","226.1"
"Breece Hall","NYJ","218.3","977.6","5.8","46.2","377.3","1.9","1.6","224.9"
"Chuba Hubbard","CAR","246.3","1,087.6","8.0","37.9","230.7","1.0","1.8","220.1"
"Omarion Hampton","LAC","227.0","990.5","8.8","35.8","277.3","1.5","2.1","220.0"
"Kenneth Walker III","SEA","232.4","944.9","7.9","42.4","301.2","1.2","1.3","219.4"
"D'Andre Swift","CHI","237.0","961.5","6.1","36.6","284.2","1.2","1.1","203.1"
"Aaron Jones Sr.","MIN","198.2","887.0","4.4","44.8","328.8","2.3","1.8","202.7"
"Tony Pollard","TEN","233.3","979.8","5.5","40.0","257.5","0.9","1.0","200.0"
"David Montgomery","DET","199.1","836.9","9.0","31.4","257.8","0.9","1.0","198.1"
"TreVeyon Henderson","NE","212.8","933.2","6.1","33.7","264.1","1.7","1.7","197.1"
"RJ Harvey","DEN","190.9","821.6","5.7","35.3","269.4","1.7","1.3","186.0"
"Tyrone Tracy Jr.","NYG","192.7","828.9","5.4","36.1","268.1","1.1","1.6","181.2"
"Isiah Pacheco","KC","203.0","841.4","5.9","33.7","231.1","1.1","1.0","180.7"
"Jaylen Warren","PIT","149.6","668.3","3.6","47.5","347.2","1.1","1.1","175.1"
"Austin Ekeler","WAS","108.7","487.7","4.7","47.1","386.3","1.8","1.4","170.3"
"Kaleb Johnson","PIT","196.7","828.8","6.2","23.2","178.0","1.0","1.7","163.8"
"Joe Mixon","HOU","169.2","655.2","5.8","27.4","219.2","1.3","0.9","155.9"
"Travis Etienne Jr.","JAC","147.5","597.0","3.9","38.4","284.9","1.2","0.9","154.8"
"Javonte Williams","DAL","167.8","644.0","4.4","34.4","220.2","0.9","0.6","151.4"
"Zach Charbonnet","SEA","135.9","585.4","4.9","33.7","247.9","0.9","0.8","150.3"
"Jacory Croskey-Merritt","WAS","163.8","687.0","6.0","21.1","167.8","1.2","0.9","147.5"
"J.K. Dobbins","DEN","147.1","653.5","4.8","29.5","189.3","1.2","1.2","147.3"
"Rhamondre Stevenson","NE","154.2","625.0","4.9","27.3","173.9","1.1","1.5","140.2"
"Quinshon Judkins","CLE","176.7","705.1","4.6","21.2","163.1","0.9","1.3","138.9"
