Running Backs
Rushing	Receiving	Misc
Player	gp	att	yds	avg	td	tgt	rec	yds	yds/g	avg	td	fl	fpts	fppg
Jahmyr Gibbs RB  DET	17	226	1276	5.7	11	72	56	538	31.6	9.6	3	1	318.2	18.7
Saquon Barkley RB  PHI	17	319	1797	5.6	10	51	39	301	17.7	7.7	2	1	316.4	18.6
Bijan Robinson RB  ATL	17	284	1394	4.9	11	72	58	426	25.1	7.3	2	1	315.9	18.6
Josh Jacobs RB  GB	17	303	1327	4.4	13	47	38	375	22.1	9.9	1	1	290	17.1
Derrick Henry RB  BAL	17	275	1575	5.7	13	24	19	201	11.8	10.6	1	1	276.1	16.2
De'Von Achane RB  MIA	17	166	836	5.0	6	76	67	515	30.3	7.7	6	1	271.3	16.0
Alvin Kamara RB  NO	17	244	1071	4.4	5	91	71	542	31.9	7.6	2	1	270.8	15.9
Christian McCaffrey RB  SF	17	209	1038	5.0	7	72	57	541	31.8	9.5	3	2	269.4	15.8
Kyren Williams RB  LAR	17	288	1259	4.4	12	43	35	197	11.6	5.6	3	3	263.5	15.5
Chase Brown RB  CIN	17	211	881	4.2	8	72	60	413	24.3	6.9	4	1	257.5	15.1
Ashton Jeanty RB  LV	17	272	1112	4.1	10	56	43	394	23.2	9.2	2	4	256.6	15.1
Bucky Irving RB  TB	17	243	1225	5.0	9	42	38	320	18.8	8.4	1	1	249	14.6
Jonathan Taylor RB  IND	17	306	1423	4.7	9	40	25	187	11.0	7.5	2	1	248.8	14.6
Kenneth Walker III RB  SEA	17	219	899	4.1	10	60	51	338	19.9	6.6	1	1	235.7	13.9
James Cook RB  BUF	17	209	1007	4.8	11	38	31	275	16.2	8.9	2	1	234.5	13.8
Breece Hall RB  NYJ	17	190	869	4.6	6	68	51	455	26.8	8.9	3	2	231.9	13.6
James Conner RB  ARI	17	207	975	4.7	7	51	43	374	22.0	8.7	2	1	229.3	13.5
Chuba Hubbard RB  CAR	17	213	985	4.6	9	56	45	212	12.5	4.7	1	2	218.3	12.8
D'Andre Swift RB  CHI	17	228	1006	4.4	5	54	42	364	21.4	8.7	1	1	212	12.5
Aaron Jones RB  MIN	17	190	983	5.2	4	59	47	367	21.6	7.8	2	2	211.6	12.4
David Montgomery RB  DET	17	209	870	4.2	9	35	31	292	17.2	9.4	0	1	198.6	11.7
TreVeyon Henderson RB  NE	17	215	1037	4.8	6	40	31	270	15.9	8.7	1	3	196.2	11.5
Tony Pollard RB  TEN	17	232	981	4.2	5	53	39	249	14.6	6.4	0	1	187.7	11.0
Omarion Hampton RB  LAC	17	207	802	3.9	7	37	28	287	16.9	10.3	2	3	183.1	10.8
Austin Ekeler RB  WAS	17	112	529	4.7	5	64	52	446	26.2	8.6	1	2	180.9	10.6
RJ Harvey RB  DEN	17	204	880	4.3	6	36	28	245	14.4	8.8	2	3	180.5	10.6
Jacory Croskey-Merritt RB  WAS	17	152	721	4.7	6	34	26	243	14.3	9.4	2	2	165.2	9.7
Tyrone Tracy Jr. RB  NYG	17	174	777	4.5	4	49	35	282	16.6	8.1	1	2	164.7	9.7
Zach Charbonnet RB  SEA	17	123	533	4.3	6	46	37	294	17.3	8.0	1	1	158.6	9.3
Rhamondre Stevenson RB  NE	17	151	653	4.3	6	42	33	187	11.0	5.7	1	2	154.3	9.1
Joe Mixon RB  HOU	13	155	612	4.0	6	40	29	246	18.9	8.5	1	1	149.1	11.5
Travis Etienne RB  JAC	17	151	600	4.0	4	50	38	286	16.8	7.5	0	1	146.7	8.6
Jaylen Warren RB  PIT	17	124	540	4.4	2	59	48	368	21.6	7.7	0	1	146.4	8.6
Kaleb Johnson RB  PIT	17	207	821	4.0	6	19	14	142	8.4	10.1	1	3	145.3	8.5
Ollie Gordon II RB  MIA	17	169	750	4.4	6	21	16	140	8.2	8.8	1	2	142.5	8.4
Tank Bigsby RB  JAC	17	182	827	4.5	8	10	6	45	2.6	7.5	0	1	139	8.2
Isiah Pacheco RB  KC	17	188	713	3.8	4	36	29	182	10.7	6.3	0	1	137.7	8.1
Rachaad White RB  TB	17	116	510	4.4	3	34	30	243	14.3	8.1	3	2	136.8	8.0
Jordan Mason RB  MIN	17	181	913	5.0	4	18	14	113	6.6	8.1	0	1	136.7	8.0
Quinshon Judkins RB  CLE	17	179	704	3.9	5	24	18	159	9.4	8.8	1	2	135	7.9
Nick Chubb RB  HOU	17	170	673	4.0	6	20	12	89	5.2	7.4	2	1	133.5	7.9
J.K. Dobbins RB  DEN	17	146	684	4.7	5	31	26	107	6.3	4.1	0	1	132.6	7.8
