Wide Receivers
Receiving	Rushing	Misc
Player	gp	tgt	rec	yds	yds/g	avg	td	att	yds	avg	td	fl	fpts	fppg
Ja'Marr Chase WR  CIN	17	167	119	1601	94.2	13.5	14	3	21	7.0	0	0	367.1	21.6
Malik Nabers WR  NYG	17	181	116	1397	82.2	12.0	11	6	2	0.3	0	0	324.7	19.1
CeeDee Lamb WR  DAL	17	175	118	1461	85.9	12.4	8	14	76	5.4	0	1	316.4	18.6
Justin Jefferson WR  MIN	17	155	105	1601	94.2	15.3	8	2	5	2.5	0	0	316.1	18.6
Puka Nacua WR  LAR	17	159	110	1451	85.4	13.2	6	14	68	4.9	1	0	304.4	17.9
Brian Thomas Jr. WR  JAC	17	134	88	1315	77.4	14.9	12	6	46	7.7	0	0	296.3	17.4
Amon-Ra St. Brown WR  DET	17	138	108	1270	74.7	11.8	10	3	20	6.7	0	1	296.1	17.4
Davante Adams WR  LAR	17	161	95	1315	77.4	13.8	10	1	0	0.0	0	0	285.9	16.8
Nico Collins WR  HOU	17	121	84	1274	74.9	15.2	11	0	2	0.0	0	0	279.1	16.4
Tee Higgins WR  CIN	17	137	90	1178	69.3	13.1	11	0	0	0.0	0	1	271.3	16.0
Ladd McConkey WR  LAC	17	122	88	1261	74.2	14.3	8	0	0	0.0	0	0	261.8	15.4
Mike Evans WR  TB	17	123	81	1150	67.6	14.2	11	0	0	0.0	0	0	260.9	15.3
Tyreek Hill WR  MIA	17	136	92	1154	67.9	12.5	8	8	48	6.0	0	0	259.3	15.3
Drake London WR  ATL	17	143	91	1155	67.9	12.7	9	1	-1	-1.0	0	0	258.9	15.2
A.J. Brown WR  PHI	17	121	79	1203	70.8	15.2	10	0	0	0.0	0	1	256	15.1
Jaxon Smith-Njigba WR  SEA	17	136	99	1101	64.8	11.1	7	4	21	5.3	0	0	254.1	14.9
DJ Moore WR  CHI	17	140	95	1047	61.6	11.0	8	12	67	5.6	0	1	251.3	14.8
Xavier Worthy WR  KC	17	104	68	832	48.9	12.2	9	28	134	4.8	4	0	239.7	14.1
DK Metcalf WR  PIT	17	120	73	1169	68.8	16.0	8	0	0	0.0	0	2	232.6	13.7
Terry McLaurin WR  WAS	17	103	69	960	56.5	13.9	11	2	5	2.5	0	1	231.5	13.6
DeVonta Smith WR  PHI	17	100	76	960	56.5	12.6	9	1	1	1.0	0	0	228.5	13.4
Marvin Harrison Jr. WR  ARI	17	128	68	1004	59.1	14.8	10	0	0	0.0	0	1	226.3	13.3
Garrett Wilson WR  NYJ	17	141	89	1022	60.1	11.5	6	3	5	1.7	0	2	226.3	13.3
Courtland Sutton WR  DEN	17	128	77	1006	59.2	13.1	7	0	1	0.0	0	1	220.6	13.0
Zay Flowers WR  BAL	17	109	71	1026	60.4	14.5	6	9	55	6.1	0	0	215.6	12.7
George Pickens WR  DAL	17	121	72	1062	62.5	14.8	6	2	3	1.5	0	1	214.7	12.6
Jerry Jeudy WR  CLE	17	126	80	1074	63.2	13.4	4	1	6	6.0	0	0	214.4	12.6
Michael Pittman WR  IND	17	126	82	994	58.5	12.1	5	1	5	5.0	0	1	211.9	12.5
Calvin Ridley WR  TEN	17	119	64	1017	59.8	15.9	5	8	46	5.8	1	1	203.7	12.0
Jameson Williams WR  DET	17	87	53	903	53.1	17.0	7	10	114	11.4	1	0	201.7	11.9
Rashee Rice WR  KC	17	89	72	836	49.2	11.6	7	3	3	1.0	0	0	200.6	11.8
Deebo Samuel WR  WAS	17	104	66	735	43.2	11.1	5	49	189	3.9	2	1	197.8	11.6
Ricky Pearsall WR  SF	17	91	61	856	50.4	14.0	7	5	69	13.8	0	0	195.9	11.5
