Rank,Name,Position,Team,Points,PositionRank,VBD,AuctionValue,MaxBid,TargetBid,MinBid,Confidence
1,Bijan Robinson,RB,,316.9,1,212.8,77,89,77,65,0.90
2,Jahmyr Gibbs,RB,,315.7,2,211.6,76,87,76,65,0.90
3,Saquon Barkley,RB,,294.9,3,190.8,69,79,69,59,0.90
4,Christian McCaffrey,RB,,283.0,4,178.9,59,68,59,50,0.90
5,Ja'Marr Chase,WR,,334.4,1,186.0,58,67,58,49,0.90
6,Ashton Jeanty,RB,,276.5,5,172.4,57,66,57,48,0.90
7,Bucky Irving,RB,,276.4,6,172.3,57,66,57,48,0.85
8,De'Von Achane,RB,,271.0,7,166.9,55,63,55,47,0.85
9,Derrick Henry,RB,,267.6,8,163.5,54,62,54,46,0.85
10,Justin Jefferson,WR,,299.6,2,151.2,48,55,48,41,0.90
11,Chase Brown,RB,,252.0,9,147.9,45,52,45,38,0.85
12,Josh Jacobs,RB,,251.4,10,147.3,45,52,45,38,0.85
13,Puka Nacua,WR,,291.0,3,142.6,45,52,45,38,0.90
14,Kyren Williams,RB,,228.7,11,124.6,38,44,38,32,0.85
15,Kenneth Walker III,RB,,227.8,12,123.7,38,44,38,32,0.85
16,Nico Collins,WR,,273.7,4,125.3,36,41,36,31,0.90
17,CeeDee Lamb,WR,,273.3,5,124.9,36,41,36,31,0.90
18,Brian Thomas Jr.,WR,,273.0,6,124.6,36,41,36,31,0.85
19,Omarion Hampton,RB,,223.3,13,119.2,36,41,36,31,0.80
20,RJ Harvey,RB,,221.2,14,117.1,36,41,36,31,0.80
21,James Cook,RB,,221.0,15,116.9,36,41,36,31,0.80
22,Malik Nabers,WR,,268.4,7,120.0,35,40,35,30,0.85
23,Amon-Ra St. Brown,WR,,266.8,8,118.4,34,39,34,29,0.85
24,Alvin Kamara,RB,,215.2,16,111.1,34,39,34,29,0.80
25,Brock Bowers,TE,,251.5,1,115.8,33,38,33,28,0.90
26,Jonathan Taylor,RB,,215.2,17,111.1,31,36,31,26,0.80
27,Trey McBride,TE,,241.1,2,105.4,30,35,30,26,0.90
28,Drake London,WR,,258.3,9,109.9,29,33,29,25,0.85
29,A.J. Brown,WR,,257.0,10,108.6,29,33,29,25,0.85
30,D'Andre Swift,RB,,205.3,18,101.2,29,33,29,25,0.80
31,Tee Higgins,WR,,252.8,11,104.4,28,32,28,24,0.85
32,James Conner,RB,,205.0,19,100.9,28,32,28,24,0.80
33,Chuba Hubbard,RB,,203.7,20,99.6,28,32,28,24,0.80
34,Garrett Wilson,WR,,250.4,12,102.0,27,31,27,23,0.85
35,Ladd McConkey,WR,,242.0,13,93.6,25,29,25,21,0.80
36,Jayden Daniels,QB,,351.6,1,89.3,24,28,24,20,0.90
37,Marvin Harrison Jr.,WR,,235.3,14,86.9,23,26,23,20,0.80
38,Terry McLaurin,WR,,234.1,15,85.7,23,26,23,20,0.80
39,Aaron Jones,RB,,183.8,21,79.7,23,26,23,20,0.80
40,Mike Evans,WR,,229.3,16,80.9,22,25,22,19,0.80
41,David Montgomery,RB,,178.2,22,74.1,21,24,21,18,0.80
42,Josh Allen,QB,,332.1,2,69.8,19,22,19,16,0.90
43,Davante Adams,WR,,224.0,17,75.6,19,22,19,16,0.80
44,Jordan Mason,RB,,168.7,23,64.6,19,22,19,16,0.80
45,Lamar Jackson,QB,,328.4,3,66.1,18,21,18,15,0.90
46,Rashee Rice,WR,,222.7,18,74.3,18,21,18,15,0.80
47,Travis Hunter,WR,,222.5,19,74.1,18,21,18,15,0.80
48,DJ Moore,WR,,221.7,20,73.3,18,21,18,15,0.80
49,Jaxon Smith-Njigba,WR,,221.0,21,72.6,18,21,18,15,0.80
50,Tyreek Hill,WR,,219.1,22,70.7,18,21,18,15,0.80
51,Jaylen Warren,RB,,167.4,24,63.3,18,21,18,15,0.80
52,Jalen Hurts,QB,,327.3,4,65.0,17,20,17,14,0.90
53,Jameson Williams,WR,,216.5,23,68.1,17,20,17,14,0.80
54,Tetairoa McMillan,WR,,215.5,24,67.1,17,20,17,14,0.80
55,George Kittle,TE,,193.9,3,58.2,17,20,17,14,0.90
56,TreVeyon Henderson,RB,,167.4,25,63.3,17,20,17,14,0.75
57,Tony Pollard,RB,,166.7,26,62.6,17,20,17,14,0.75
58,Breece Hall,RB,,166.7,27,62.6,17,20,17,14,0.75
59,Tyrone Tracy,RB,,164.3,28,60.2,16,18,16,14,0.75
60,Isiah Pacheco,RB,,164.1,29,60.0,16,18,16,14,0.75
61,DeVonta Smith,WR,,213.4,25,65.0,15,17,15,13,0.75
62,Xavier Worthy,WR,,211.4,26,63.0,15,17,15,13,0.75
63,Kaleb Johnson,RB,,158.6,30,54.5,15,17,15,13,0.75
64,Chris Olave,WR,,209.4,27,61.0,14,16,14,12,0.75
65,D.K. Metcalf,WR,,208.8,28,60.4,14,16,14,12,0.75
66,T.J. Hockenson,TE,,187.3,4,51.6,14,16,14,12,0.90
67,Brian Robinson,RB,,157.8,31,53.7,14,16,14,12,0.75
68,Joe Mixon,RB,,156.5,32,52.4,14,16,14,12,0.75
69,Joe Burrow,QB,,313.7,5,51.4,13,15,13,11,0.90
70,Zay Flowers,WR,,205.6,29,57.2,13,15,13,11,0.75
71,Jaylen Waddle,WR,,203.4,30,55.0,13,15,13,11,0.75
72,Rhamondre Stevenson,RB,,152.1,33,48.0,13,15,13,11,0.75
73,Courtland Sutton,WR,,200.1,31,51.7,12,14,12,10,0.75
74,George Pickens,WR,,199.4,32,51.0,12,14,12,10,0.75
75,Sam LaPorta,TE,,179.9,5,44.2,12,14,12,10,0.90
76,Rome Odunze,WR,,198.0,33,49.6,12,14,12,10,0.75
77,David Njoku,TE,,178.5,6,42.8,12,14,12,10,0.85
78,Calvin Ridley,WR,,197.0,34,48.6,11,13,11,9,0.75
79,Stefon Diggs,WR,,196.3,35,47.9,11,13,11,9,0.75
80,Deebo Samuel,WR,,195.2,36,46.8,11,13,11,9,0.75
81,Jakobi Meyers,WR,,194.6,37,46.2,10,12,10,9,0.75
82,Jauan Jennings,WR,,194.3,38,45.9,10,12,10,9,0.75
83,Jerry Jeudy,WR,,192.9,39,44.5,9,10,9,8,0.75
84,Patrick Mahomes,QB,,293.3,6,31.0,8,9,8,7,0.85
85,Baker Mayfield,QB,,292.2,7,29.9,8,9,8,7,0.85
86,Josh Downs,WR,,188.4,40,40.0,8,9,8,7,0.75
87,Emeka Egbuka,WR,,188.3,41,39.9,8,9,8,7,0.75
88,Chris Godwin,WR,,184.0,42,35.6,8,9,8,7,0.75
89,Javonte Williams,RB,,133.3,34,29.2,8,9,8,7,0.75
90,Cam Skattebo,RB,,133.0,35,28.9,8,9,8,7,0.75
91,Ricky Pearsall,WR,,180.5,43,32.1,7,8,7,6,0.75
92,Jordan Addison,WR,,180.3,44,31.9,7,8,7,6,0.75
93,Tucker Kraft,TE,,159.8,7,24.1,7,8,7,6,0.85
94,Matthew Golden,WR,,178.9,45,30.5,7,8,7,6,0.75
95,Tyler Warren,TE,,159.1,8,23.4,7,8,7,6,0.85
96,Brock Purdy,QB,,285.2,8,22.9,6,7,6,5,0.85
97,Justin Fields,QB,,284.6,9,22.3,6,7,6,5,0.85
98,Dalton Kincaid,TE,,156.4,9,20.7,6,7,6,5,0.85
99,Darnell Mooney,WR,,175.6,46,27.2,6,7,6,5,0.75
100,Khalil Shakir,WR,,175.3,47,26.9,6,7,6,5,0.75
101,Colston Loveland,TE,,154.4,10,18.7,5,6,5,4,0.85
102,Cooper Kupp,WR,,172.7,48,24.3,5,6,5,4,0.75
103,Travis Kelce,TE,,152.9,11,17.2,5,6,5,4,0.85
104,Michael Pittman Jr.,WR,,172.0,49,23.6,5,6,5,4,0.75
105,Marvin Mims Jr.,WR,,171.4,50,23.0,5,6,5,4,0.75
106,Trevor Lawrence,QB,,276.1,10,13.8,4,5,4,3,0.85
107,J.J. McCarthy,QB,,275.7,11,13.4,4,5,4,3,0.85
108,Mark Andrews,TE,,149.5,12,13.8,4,5,4,3,0.85
109,Evan Engram,TE,,147.6,13,11.9,4,5,4,3,0.80
110,Tank Bigsby,RB,,115.9,36,11.8,4,5,4,3,0.75
111,Dallas Goedert,TE,,144.9,14,9.2,3,3,3,3,0.80
112,Jake Ferguson,TE,,143.5,15,7.8,3,3,3,3,0.80
113,Dylan Sampson,RB,,114.9,37,10.8,3,3,3,3,0.75
114,Jaydon Blue,RB,,114.7,38,10.6,3,3,3,3,0.75
115,Travis Etienne Jr.,RB,,111.7,39,7.6,3,3,3,3,0.75
116,Bo Nix,QB,,268.6,12,6.3,2,2,2,2,0.85
117,Kyler Murray,QB,,267.4,13,5.1,2,2,2,2,0.80
118,Chigoziem Okonkwo,TE,,138.4,16,2.7,2,2,2,2,0.80
119,Jerome Ford,RB,,111.3,40,7.2,2,2,2,2,0.75
120,Braelon Allen,RB,,110.8,41,6.7,2,2,2,2,0.75
121,Christian Kirk,WR,,156.0,51,7.6,2,2,2,2,0.75
122,Nick Chubb,RB,,110.4,42,6.3,2,2,2,2,0.75
123,Quinshon Judkins,RB,,109.9,43,5.8,2,2,2,2,0.75
124,Demario Douglas,WR,,155.2,52,6.8,2,2,2,2,0.75
125,Tyjae Spears,RB,,109.8,44,5.7,2,2,2,2,0.75
126,Keon Coleman,WR,,154.0,53,5.6,2,2,2,2,0.75
127,Brandon Aiyuk,WR,,153.5,54,5.1,2,2,2,2,0.75
128,Bhayshul Tuten,RB,,107.9,45,3.8,2,2,2,2,0.75
129,Jake Bates,K,,156.4,1,9.8,2,2,2,2,0.90
130,Jake Elliott,K,,155.0,2,8.4,2,2,2,2,0.90
131,Tyler Bass,K,,153.7,3,7.1,2,2,2,2,0.90
132,Bills DST,DST,,123.5,1,11.8,2,2,2,2,0.90
133,Steelers DST,DST,,122.7,2,11.0,2,2,2,2,0.90
134,49ers DST,DST,,121.5,3,9.8,2,2,2,2,0.90
135,Lions DST,DST,,120.0,4,8.3,2,2,2,2,0.90
136,Caleb Williams,QB,,263.6,14,1.3,1,1,1,1,0.80
137,Jared Goff,QB,,262.3,15,0.0,1,1,1,1,0.80
138,Brenton Strange,TE,,137.8,17,2.1,1,1,1,1,0.80
139,Justin Herbert,QB,,258.7,16,0.0,1,1,1,1,0.80
140,Isaiah Likely,TE,,135.7,18,0.0,1,1,1,1,0.80
141,Jordan Love,QB,,257.8,17,0.0,1,1,1,1,0.80
142,C.J. Stroud,QB,,257.8,18,0.0,1,1,1,1,0.80
143,Kyle Pitts,TE,,134.4,19,0.0,1,1,1,1,0.80
144,Jonnu Smith,TE,,133.4,20,0.0,1,1,1,1,0.80
145,Jayden Higgins,WR,,151.9,55,3.5,1,1,1,1,0.75
146,Rashid Shaheed,WR,,151.5,56,3.1,1,1,1,1,0.75
147,Darren Waller,TE,,132.0,21,0.0,1,1,1,1,0.80
148,Roschon Johnson,RB,,106.1,46,2.0,1,1,1,1,0.75
149,Jayden Reed,WR,,151.4,57,3.0,1,1,1,1,0.75
150,Jacory Croskey-Merritt,RB,,105.6,47,1.5,1,1,1,1,0.75
151,Hunter Henry,TE,,131.4,22,0.0,1,1,1,1,0.80
152,Wan'Dale Robinson,WR,,150.7,58,2.3,1,1,1,1,0.75
153,Michael Penix Jr.,QB,,253.7,19,0.0,1,1,1,1,0.80
154,Zach Ertz,TE,,130.3,23,0.0,1,1,1,1,0.80
155,J.K. Dobbins,RB,,104.1,48,0.0,1,1,1,1,0.75
156,Isaiah Davis,RB,,104.1,49,0.0,1,1,1,1,0.75
157,Elijah Arroyo,TE,,129.8,24,0.0,1,1,1,1,0.80
158,Marquise Brown,WR,,149.2,59,0.8,1,1,1,1,0.75
159,Zach Charbonnet,RB,,103.4,50,0.0,1,1,1,1,0.75
160,Luther Burden III,WR,,148.4,60,0.0,1,1,1,1,0.75
161,Trey Benson,RB,,102.9,51,0.0,1,1,1,1,0.75
162,Drake Maye,QB,,251.5,20,0.0,1,1,1,1,0.80
163,Dak Prescott,QB,,251.3,21,0.0,1,1,1,1,0.80
164,Mason Taylor,TE,,128.2,25,0.0,1,1,1,1,0.75
165,Mike Gesicki,TE,,128.0,26,0.0,1,1,1,1,0.75
166,Romeo Doubs,WR,,147.4,61,0.0,1,1,1,1,0.75
167,Tyler Allgeier,RB,,101.8,52,0.0,1,1,1,1,0.75
168,Tua Tagovailoa,QB,,250.5,22,0.0,1,1,1,1,0.80
169,Keenan Allen,WR,,147.0,62,0.0,1,1,1,1,0.75
170,Adam Thielen,WR,,146.7,63,0.0,1,1,1,1,0.75
171,Geno Smith,QB,,249.9,23,0.0,1,1,1,1,0.80
172,Cedric Tillman,WR,,145.3,64,0.0,1,1,1,1,0.75
173,Najee Harris,RB,,99.9,53,0.0,1,1,1,1,0.75
174,Keaton Mitchell,RB,,99.9,54,0.0,1,1,1,1,0.75
175,Cam Ward,QB,,247.9,24,0.0,1,1,1,1,0.80
176,Ray Davis,RB,,98.9,55,0.0,1,1,1,1,0.75
177,Isaac Guerendo,RB,,98.5,56,0.0,1,1,1,1,0.75
178,Matthew Stafford,QB,,246.1,25,0.0,1,1,1,1,0.75
179,Rachaad White,RB,,96.4,57,0.0,1,1,1,1,0.75
180,Jaylen Wright,RB,,96.2,58,0.0,1,1,1,1,0.75
181,Bryce Young,QB,,244.6,26,0.0,1,1,1,1,0.75
182,Sam Darnold,QB,,241.7,27,0.0,1,1,1,1,0.75
183,Rico Dowdle,RB,,91.7,59,0.0,1,1,1,1,0.75
184,Tahj Brooks,RB,,90.5,60,0.0,1,1,1,1,0.75
185,Aaron Rodgers,QB,,238.8,28,0.0,1,1,1,1,0.75
186,Miles Sanders,RB,,89.0,61,0.0,1,1,1,1,0.75
187,MarShawn Lloyd,RB,,88.9,62,0.0,1,1,1,1,0.75
188,Rashod Bateman,WR,,134.0,65,0.0,1,1,1,1,0.75
189,Pat Freiermuth,TE,,114.1,27,0.0,1,1,1,1,0.75
190,DJ Giddens,RB,,88.2,63,0.0,1,1,1,1,0.75
191,Xavier Legette,WR,,133.2,66,0.0,1,1,1,1,0.75
192,Ja'Tavion Sanders,TE,,109.4,28,0.0,1,1,1,1,0.75
193,Quentin Johnston,WR,,126.0,67,0.0,1,1,1,1,0.75
194,Tutu Atwell,WR,,125.8,68,0.0,1,1,1,1,0.75
195,Cade Otton,TE,,105.9,29,0.0,1,1,1,1,0.75
196,Joshua Palmer,WR,,124.0,69,0.0,1,1,1,1,0.75
197,Blake Corum,RB,,78.1,64,0.0,1,1,1,1,0.75
198,Alec Pierce,WR,,122.7,70,0.0,1,1,1,1,0.75
199,Calvin Austin III,WR,,122.4,71,0.0,1,1,1,1,0.75
200,Theo Johnson,TE,,102.9,30,0.0,1,1,1,1,0.75
